指标,地区,时间,数值
    上市公司净利润（亿元）,广东,2009,998.47000
    上市公司净利润（亿元）,广东,2010,1533.14000
    上市公司净利润（亿元）,广西,2009,30.67000
    上市公司净利润（亿元）,广西,2010,49.36000
    上市公司净利润（亿元）,海南,2009,9.82000
    上市公司净利润（亿元）,海南,2010,48.86000
    上市公司净利润（亿元）,重庆,2009,39.49000
    上市公司净利润（亿元）,重庆,2010,66.54000
    上市公司净利润（亿元）,四川,2009,102.49000
    上市公司净利润（亿元）,四川,2010,179.59000
    上市公司净利润（亿元）,贵州,2009,71.74000
    上市公司净利润（亿元）,贵州,2010,84.70000
    上市公司净利润（亿元）,云南,2009,28.02000
    上市公司净利润（亿元）,云南,2010,42.70000
    上市公司净利润（亿元）,西藏,2009,4.48000
    上市公司净利润（亿元）,西藏,2010,12.33000
    上市公司净利润（亿元）,陕西,2009,11.23000
    上市公司净利润（亿元）,陕西,2010,47.83000
    上市公司净利润（亿元）,甘肃,2009,14.55000
    上市公司净利润（亿元）,甘肃,2010,30.13000
    上市公司净利润（亿元）,青海,2009,32.30000
    上市公司净利润（亿元）,青海,2010,42.03000
    上市公司净利润（亿元）,宁夏,2009,8.27000
    上市公司净利润（亿元）,宁夏,2010,8.03000
    上市公司净利润（亿元）,新疆,2009,68.90000
    上市公司净利润（亿元）,新疆,2010,97.19000
    上市公司资产负债率（%）,北京,2009,89.34000
    上市公司资产负债率（%）,北京,2010,90.29000
    上市公司资产负债率（%）,天津,2009,62.21000
    上市公司资产负债率（%）,天津,2010,60.95000
    上市公司资产负债率（%）,河北,2009,66.74000
    上市公司资产负债率（%）,河北,2010,65.24000
    上市公司资产负债率（%）,山西,2009,55.28000
    上市公司资产负债率（%）,山西,2010,57.81000
    上市公司资产负债率（%）,内蒙古,2009,66.52000
    上市公司资产负债率（%）,内蒙古,2010,65.36000
    上市公司资产负债率（%）,辽宁,2009,62.55000
    上市公司资产负债率（%）,辽宁,2010,64.04000
    上市公司资产负债率（%）,吉林,2009,60.89000
    上市公司资产负债率（%）,吉林,2010,62.97000
    上市公司资产负债率（%）,黑龙江,2009,59.04000
    上市公司资产负债率（%）,黑龙江,2010,56.28000
