指标,地区,时间,数值
            工业增加值（亿元）,    重庆,2023,8333.40000
            工业增加值（亿元）,    四川,2022,16412.20000
            工业增加值（亿元）,    四川,2023,16705.20000
            工业增加值（亿元）,    贵州,2022,5493.10000
            工业增加值（亿元）,    贵州,2023,5682.80000
            工业增加值（亿元）,    云南,2022,7197.10000
            工业增加值（亿元）,    云南,2023,7202.80000
            工业增加值（亿元）,    西藏,2022,200.80000
            工业增加值（亿元）,    西藏,2023,252.30000
            工业增加值（亿元）,    陕西,2022,13158.30000
            工业增加值（亿元）,    陕西,2023,13258.70000
            工业增加值（亿元）,    甘肃,2022,3297.20000
            工业增加值（亿元）,    甘肃,2023,3389.60000
            工业增加值（亿元）,    青海,2022,1228.70000
            工业增加值（亿元）,    青海,2023,1272.40000
            工业增加值（亿元）,    宁夏,2022,2094.00000
            工业增加值（亿元）,    宁夏,2023,2130.10000
            工业增加值（亿元）,    新疆,2022,6022.80000
            工业增加值（亿元）,    新疆,2023,6434.70000
            建筑业增加值（亿元）,    北京,2022,1614.20000
            建筑业增加值（亿元）,    北京,2023,1603.40000
            建筑业增加值（亿元）,    天津,2022,724.60000
            建筑业增加值（亿元）,    天津,2023,769.60000
            建筑业增加值（亿元）,    河北,2022,2413.60000
            建筑业增加值（亿元）,    河北,2023,2507.10000
            建筑业增加值（亿元）,    山西,2022,1093.30000
            建筑业增加值（亿元）,    山西,2023,1080.10000
            建筑业增加值（亿元）,    内蒙古,2022,1538.00000
            建筑业增加值（亿元）,    内蒙古,2023,1813.80000
            建筑业增加值（亿元）,    辽宁,2022,1598.70000
            建筑业增加值（亿元）,    辽宁,2023,1648.00000
            建筑业增加值（亿元）,    吉林,2022,927.20000
            建筑业增加值（亿元）,    吉林,2023,913.70000
            建筑业增加值（亿元）,    黑龙江,2022,460.30000
            建筑业增加值（亿元）,    黑龙江,2023,438.00000
            建筑业增加值（亿元）,    上海,2022,743.60000
            建筑业增加值（亿元）,    上海,2023,882.30000
            建筑业增加值（亿元）,    江苏,2022,7377.80000
            建筑业增加值（亿元）,    江苏,2023,7765.70000
            建筑业增加值（亿元）,    浙江,2022,4388.10000
            建筑业增加值（亿元）,    浙江,2023,4623.50000
            建筑业增加值（亿元）,    安徽,2022,4819.40000
            建筑业增加值（亿元）,    安徽,2023,4881.20000
            建筑业增加值（亿元）,    福建,2022,5518.90000
            建筑业增加值（亿元）,    福建,2023,5498.00000
            建筑业增加值（亿元）,    江西,2022,2597.20000
            建筑业增加值（亿元）,    江西,2023,2531.70000
            建筑业增加值（亿元）,    山东,2022,6424.50000
            建筑业增加值（亿元）,    山东,2023,6961.10000
            建筑业增加值（亿元）,    河南,2022,5951.60000
            建筑业增加值（亿元）,    河南,2023,5322.20000
            建筑业增加值（亿元）,    湖北,2022,3741.50000
            建筑业增加值（亿元）,    湖北,2023,3916.10000
            建筑业增加值（亿元）,    湖南,2022,4174.90000
            建筑业增加值（亿元）,    湖南,2023,4277.10000
            建筑业增加值（亿元）,    广东,2022,5247.60000
            建筑业增加值（亿元）,    广东,2023,5892.50000
            建筑业增加值（亿元）,    广西,2022,2180.40000
            建筑业增加值（亿元）,    广西,2023,2028.40000
            建筑业增加值（亿元）,    海南,2022,545.60000
            建筑业增加值（亿元）,    海南,2023,592.70000
            建筑业增加值（亿元）,    重庆,2022,3417.90000
            建筑业增加值（亿元）,    重庆,2023,3365.80000
            建筑业增加值（亿元）,    四川,2022,4888.60000
            建筑业增加值（亿元）,    四川,2023,4846.50000
            建筑业增加值（亿元）,    贵州,2022,1626.20000
            建筑业增加值（亿元）,    贵州,2023,1636.60000
            建筑业增加值（亿元）,    云南,2022,3282.40000
            建筑业增加值（亿元）,    云南,2023,3064.60000
            建筑业增加值（亿元）,    西藏,2022,603.90000
            建筑业增加值（亿元）,    西藏,2023,630.60000
            建筑业增加值（亿元）,    陕西,2022,2893.00000
            建筑业增加值（亿元）,    陕西,2023,2955.00000
            建筑业增加值（亿元）,    甘肃,2022,657.60000
            建筑业增加值（亿元）,    甘肃,2023,707.70000
            建筑业增加值（亿元）,    青海,2022,357.00000
            建筑业增加值（亿元）,    青海,2023,340.40000
            建筑业增加值（亿元）,    宁夏,2022,357.20000
            建筑业增加值（亿元）,    宁夏,2023,359.90000
            建筑业增加值（亿元）,    新疆,2022,1355.70000
            建筑业增加值（亿元）,    新疆,2023,1428.00000
        第三产业增加值（亿元）,    北京,2022,34894.30000
        第三产业增加值（亿元）,    北京,2023,37129.60000
