指标,地区,时间,数值
    深交所上市公司数量（家）,西藏,2020,11.00000
    深交所上市公司数量（家）,陕西,2019,28.00000
    深交所上市公司数量（家）,陕西,2020,31.00000
    深交所上市公司数量（家）,甘肃,2019,18.00000
    深交所上市公司数量（家）,甘肃,2020,18.00000
    深交所上市公司数量（家）,青海,2019,4.00000
    深交所上市公司数量（家）,青海,2020,4.00000
    深交所上市公司数量（家）,宁夏,2019,8.00000
    深交所上市公司数量（家）,宁夏,2020,8.00000
    深交所上市公司数量（家）,新疆,2019,26.00000
    深交所上市公司数量（家）,新疆,2020,28.00000
    深交所上市公司数量（家）,深圳,2019,271.00000
    深交所上市公司数量（家）,深圳,2020,293.00000
    深交所上市公司数量（家）,大连,2019,14.00000
    深交所上市公司数量（家）,大连,2020,13.00000
    深交所上市公司数量（家）,宁波,2019,31.00000
    深交所上市公司数量（家）,宁波,2020,37.00000
    深交所上市公司数量（家）,厦门,2019,32.00000
    深交所上市公司数量（家）,厦门,2020,37.00000
    深交所上市公司数量（家）,青岛,2019,20.00000
    深交所上市公司数量（家）,青岛,2020,23.00000
新上市公司家数（家）,北京,2019,28.00000
新上市公司家数（家）,北京,2020,42.00000
新上市公司家数（家）,天津,2019,2.00000
新上市公司家数（家）,天津,2020,6.00000
新上市公司家数（家）,河北,2019,0.00000
新上市公司家数（家）,河北,2020,4.00000
新上市公司家数（家）,山西,2019,0.00000
新上市公司家数（家）,山西,2020,2.00000
新上市公司家数（家）,内蒙古,2019,0.00000
新上市公司家数（家）,内蒙古,2020,0.00000
新上市公司家数（家）,辽宁,2019,3.00000
新上市公司家数（家）,辽宁,2020,1.00000
新上市公司家数（家）,吉林,2019,0.00000
新上市公司家数（家）,吉林,2020,3.00000
新上市公司家数（家）,黑龙江,2019,1.00000
新上市公司家数（家）,黑龙江,2020,1.00000
新上市公司家数（家）,上海,2019,22.00000
新上市公司家数（家）,上海,2020,39.00000
新上市公司家数（家）,江苏,2019,30.00000
新上市公司家数（家）,江苏,2020,61.00000
新上市公司家数（家）,浙江,2019,24.00000
新上市公司家数（家）,浙江,2020,49.00000
新上市公司家数（家）,安徽,2019,3.00000
新上市公司家数（家）,安徽,2020,20.00000
新上市公司家数（家）,福建,2019,3.00000
新上市公司家数（家）,福建,2020,4.00000
新上市公司家数（家）,江西,2019,0.00000
新上市公司家数（家）,江西,2020,10.00000
新上市公司家数（家）,山东,2019,12.00000
新上市公司家数（家）,山东,2020,13.00000
新上市公司家数（家）,河南,2019,2.00000
新上市公司家数（家）,河南,2020,7.00000
