code,name,prov_code,city_code,county_code,prov_name,city_name,county_name,level,is_prov,is_city,is_county
130323,河北省秦皇岛市抚宁县,130000,130300,130323,河北省,河北省秦皇岛市秦皇岛市,河北省秦皇岛市抚宁县,县级,0,0,1
130324,河北省秦皇岛市卢龙县,130000,130300,130324,河北省,河北省秦皇岛市秦皇岛市,河北省秦皇岛市卢龙县,县级,0,0,1
130400,河北省邯郸市邯郸市,130000,130400,130400,河北省,河北省邯郸市邯郸市,河北省邯郸市邯郸市,市级,0,1,0
130401,河北省邯郸市市辖区,130000,130400,130401,河北省,河北省邯郸市邯郸市,河北省邯郸市市辖区,县级,0,0,1
130402,河北省邯郸市邯山区,130000,130400,130402,河北省,河北省邯郸市邯郸市,河北省邯郸市邯山区,县级,0,0,1
130403,河北省邯郸市丛台区,130000,130400,130403,河北省,河北省邯郸市邯郸市,河北省邯郸市丛台区,县级,0,0,1
130404,河北省邯郸市复兴区,130000,130400,130404,河北省,河北省邯郸市邯郸市,河北省邯郸市复兴区,县级,0,0,1
130406,河北省邯郸市峰峰矿区,130000,130400,130406,河北省,河北省邯郸市邯郸市,河北省邯郸市峰峰矿区,县级,0,0,1
130421,河北省邯郸市邯郸县,130000,130400,130421,河北省,河北省邯郸市邯郸市,河北省邯郸市邯郸县,县级,0,0,1
130423,河北省邯郸市临漳县,130000,130400,130423,河北省,河北省邯郸市邯郸市,河北省邯郸市临漳县,县级,0,0,1
130424,河北省邯郸市成安县,130000,130400,130424,河北省,河北省邯郸市邯郸市,河北省邯郸市成安县,县级,0,0,1
130425,河北省邯郸市大名县,130000,130400,130425,河北省,河北省邯郸市邯郸市,河北省邯郸市大名县,县级,0,0,1
130426,河北省邯郸市涉县,130000,130400,130426,河北省,河北省邯郸市邯郸市,河北省邯郸市涉县,县级,0,0,1
130427,河北省邯郸市磁县,130000,130400,130427,河北省,河北省邯郸市邯郸市,河北省邯郸市磁县,县级,0,0,1
130428,河北省邯郸市肥乡县,130000,130400,130428,河北省,河北省邯郸市邯郸市,河北省邯郸市肥乡县,县级,0,0,1
130429,河北省邯郸市永年县,130000,130400,130429,河北省,河北省邯郸市邯郸市,河北省邯郸市永年县,县级,0,0,1
130430,河北省邯郸市邱县,130000,130400,130430,河北省,河北省邯郸市邯郸市,河北省邯郸市邱县,县级,0,0,1
130431,河北省邯郸市鸡泽县,130000,130400,130431,河北省,河北省邯郸市邯郸市,河北省邯郸市鸡泽县,县级,0,0,1
130432,河北省邯郸市广平县,130000,130400,130432,河北省,河北省邯郸市邯郸市,河北省邯郸市广平县,县级,0,0,1
130433,河北省邯郸市馆陶县,130000,130400,130433,河北省,河北省邯郸市邯郸市,河北省邯郸市馆陶县,县级,0,0,1
130434,河北省邯郸市魏县,130000,130400,130434,河北省,河北省邯郸市邯郸市,河北省邯郸市魏县,县级,0,0,1
130435,河北省邯郸市曲周县,130000,130400,130435,河北省,河北省邯郸市邯郸市,河北省邯郸市曲周县,县级,0,0,1
130481,河北省邯郸市武安市,130000,130400,130481,河北省,河北省邯郸市邯郸市,河北省邯郸市武安市,县级,0,0,1
130500,河北省邢台市,130000,130500,130500,河北省,河北省邢台市,河北省邢台市,市级,0,1,0
130501,河北省邢台市市辖区,130000,130500,130501,河北省,河北省邢台市,河北省邢台市市辖区,县级,0,0,1
130502,河北省邢台市桥东区,130000,130500,130502,河北省,河北省邢台市,河北省邢台市桥东区,县级,0,0,1
